Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
5167,ibuprofen,ESI-,DTXCID10229260,FALSE,368,0.04,,0.42,1.50,94,,343,30
5167,ibuprofen,ESI-,DTXCID10229402,FALSE,368,0.02,,0.48,2.50,186,,313,17
5167,ibuprofen,ESI-,DTXCID10235023,FALSE,368,0.05,,0.57,1.50,75,,257,30
5167,ibuprofen,ESI-,DTXCID10285609,FALSE,368,0.10,,1.31,2.50,31,,37,17
5167,ibuprofen,ESI-,DTXCID10291260,FALSE,368,0.04,,0.50,2.50,108,,300,17
5167,ibuprofen,ESI-,DTXCID10347054,FALSE,368,0.01,,0.72,1.50,218,,178,30
5167,ibuprofen,ESI-,DTXCID10357830,FALSE,368,0.02,,1.70,2.33,169,,3,20
5167,ibuprofen,ESI-,DTXCID10357875,FALSE,368,0.05,,1.23,2.33,74,,40,20
5167,ibuprofen,ESI-,DTXCID1037488,FALSE,368,0.07,,0.79,3.00,48,,133,6
5167,ibuprofen,ESI-,DTXCID10394220,FALSE,368,0.02,,0.45,1.50,157,,330,30
5167,ibuprofen,ESI-,DTXCID10401706,FALSE,368,0.03,,1.68,1.50,151,,4,30
5167,ibuprofen,ESI-,DTXCID10452137,FALSE,368,0.03,,0.68,1.50,152,,206,30
5167,ibuprofen,ESI-,DTXCID1047609,FALSE,368,0.13,,0.55,2.63,26,,269,12
5167,ibuprofen,ESI-,DTXCID10513732,FALSE,368,0.01,,0.88,1.50,194,,93,30
5167,ibuprofen,ESI-,DTXCID10523391,FALSE,368,0.02,,0.90,1.50,188,,87,30
5167,ibuprofen,ESI-,DTXCID10541717,FALSE,368,0.02,,0.75,2.50,170,,157,17
5167,ibuprofen,ESI-,DTXCID10585853,FALSE,368,0.01,,0.71,2.00,192,,182,23
5167,ibuprofen,ESI-,DTXCID10593170,FALSE,368,0.02,,0.87,2.50,188,,101,17
5167,ibuprofen,ESI-,DTXCID10686531,FALSE,368,0.01,,1.36,2.00,205,,29,23
5167,ibuprofen,ESI-,DTXCID1069586,FALSE,368,0.09,,0.81,2.83,39,,128,7
5167,ibuprofen,ESI-,DTXCID10720641,FALSE,368,0.01,,0.56,2.50,219,,263,17
5167,ibuprofen,ESI-,DTXCID10721875,FALSE,368,0.03,,0.42,1.50,134,,341,30
5167,ibuprofen,ESI-,DTXCID10743759,FALSE,368,0.01,,1.11,2.50,219,,46,17
5167,ibuprofen,ESI-,DTXCID10760461,FALSE,368,0.02,,1.33,2.50,159,,34,17
5167,ibuprofen,ESI-,DTXCID10811745,FALSE,368,0.13,,0.71,1.67,27,,183,29
5167,ibuprofen,ESI-,DTXCID10814251,FALSE,368,0.04,,0.88,2.25,84,,94,21
5167,ibuprofen,ESI-,DTXCID10868552,FALSE,368,0.03,,0.56,1.50,136,,262,30
5167,ibuprofen,ESI-,DTXCID10878196,FALSE,368,0.01,,0.74,2.50,218,,161,17
5167,ibuprofen,ESI-,DTXCID10901251,FALSE,368,0.01,,0.82,1.50,230,,125,30
5167,ibuprofen,ESI-,DTXCID10926762,FALSE,368,0.01,,0.95,2.50,230,,67,17
5167,ibuprofen,ESI-,DTXCID10928504,FALSE,368,0.01,,0.65,2.50,225,,223,17
5167,ibuprofen,ESI-,DTXCID10936169,FALSE,368,0.01,,0.65,2.50,219,,225,17
5167,ibuprofen,ESI-,DTXCID10957410,FALSE,368,0.01,,1.38,2.50,205,,24,17
5167,ibuprofen,ESI-,DTXCID10971737,FALSE,368,0.02,,0.47,2.50,190,,318,17
5167,ibuprofen,ESI-,DTXCID10979157,FALSE,368,0.01,,0.83,1.50,230,,119,30
5167,ibuprofen,ESI-,DTXCID201000322,FALSE,368,0.01,,0.43,2.50,230,,337,17
5167,ibuprofen,ESI-,DTXCID201043099,FALSE,368,0.01,,0.89,2.50,230,,91,17
5167,ibuprofen,ESI-,DTXCID201384079,FALSE,368,0.05,,0.48,3.00,73,,311,6
5167,ibuprofen,ESI-,DTXCID20233691,FALSE,368,0.03,,0.44,1.50,127,,334,30
5167,ibuprofen,ESI-,DTXCID20292748,FALSE,368,0.03,,0.68,1.50,135,,203,30
5167,ibuprofen,ESI-,DTXCID2030067,FALSE,368,0.20,,0.57,1.92,15,,258,26
5167,ibuprofen,ESI-,DTXCID2030726,FALSE,368,0.10,,0.89,2.24,32,,92,22
5167,ibuprofen,ESI-,DTXCID2030934,FALSE,368,0.13,,0.45,1.96,25,,328,25
