Feature ID,Chemical Name,Ionization Mode,DTXCID,Number of candidate structures for feature,Chemical metadata score,Correct SSM structure,Hazard score,MS2 score (neg),MS2 score (pos),Chemical metadata rank,Hazard rank,MS2 rank (pos),MS2 rank (neg),Sources,Patents,Articles,PubMed Record Count,AMOS methods count,AMOS fact sheets count,AMOS spectra count,Presence in water lists count,Sources_norm,Patents_norm,Articles_norm,PubMed Record Count_norm,AMOS methods count_norm,AMOS fact sheets count_norm,AMOS spectra count_norm,Presence in water lists count_norm
247,amphetamine,ESI+,DTXCID3023847,158,0.858787063749323,False,4.32,,1.0116551744,7,6,37,,39,5310,316,36,0,4,37,1,0.152941176470588,0.0307895698157844,0.00314052872192407,0.000487217312455169,0,0.266666666666667,0.293650793650794,0.111111111111111
247,amphetamine,ESI+,DTXCID30441487,158,0.0197088976748433,False,1.5,,0.6174090634,92,28,115,,5,14,2,0,0,0,0,0,0.0196078431372549,8.11777735256087e-05,1.98767640628106e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30477362,158,0.0144924412347343,False,2.5,,0.7887170056,103,17,61,,3,467,2,0,0,0,0,0,0.0117647058823529,0.00270785858831852,1.98767640628106e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30514362,158,0.0152213827537068,False,1.5,,0.6615744151,102,28,100,,3,591,3,0,0,0,0,0,0.0117647058823529,0.00342686172525962,2.98151460942159e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30546148,158,0.0081214610498469,False,2,,0.7075680981,128,24,77,,2,48,0,0,0,0,0,0,0.00784313725490196,0.000278323794944944,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30822030,158,0.0287357341423821,False,2.5,,1.1835846535,76,17,5,,7,213,5,0,0,0,0,0,0.0274509803921569,0.00123506184006819,4.96919101570264e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID30835463,158,0.791999766299826,False,2,,1.2021182788,8,24,4,,36,2359,60,3,0,3,27,2,0.141176470588235,0.0136784548390651,0.000596302921884317,4.06014427045974e-05,0,0.2,0.214285714285714,0.222222222222222
247,amphetamine,ESI+,DTXCID30879428,158,0.0579131127925125,False,1.5,,0.5118518757,48,28,139,,8,459,7,0,0,0,3,0,0.0313725490196078,0.00266147128916103,6.9568674219837e-05,0,0,0,0.0238095238095238,0
247,amphetamine,ESI+,DTXCID3093739,158,0.193676899652477,False,2.33333333333333,,1.0386358651,29,20,28,,19,2666,51,2,0,0,13,0,0.0745098039215686,0.0154585674442338,0.00050685748360167,2.70676284697316e-05,0,0,0.103174603174603,0
247,amphetamine,ESI+,DTXCID30939910,158,0.00392156862745098,False,1.66666666666667,,0.9100668008,140,27,45,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID3097428,158,0.0651054086917978,False,2.25,,0.7576369344,44,21,68,,12,368,4,0,0,0,2,0,0.0470588235294118,0.00213381576124457,3.97535281256211e-05,0,0,0,0.0158730158730159,0
247,amphetamine,ESI+,DTXCID40106838,158,0.0315216492991117,False,2.25,,0.6963571449,73,21,80,,8,24,1,0,0,0,0,0,0.0313725490196078,0.000139161897472472,9.93838203140529e-06,0,0,0,0,0
247,amphetamine,ESI+,DTXCID40108796,158,0.255981051485556,False,2.57142857142857,,1.147514358,22,16,9,,22,1843,21,6,0,0,20,0,0.0862745098039216,0.0106864740434069,0.000208706022659511,8.12028854091949e-05,0,0,0.158730158730159,0
247,amphetamine,ESI+,DTXCID40123025,158,0.0157500570461455,False,2.5,,0.4349476416,99,17,148,,4,11,0,0,0,0,0,0,0.0156862745098039,6.37825363415497e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID401832,158,1.28832133655993,False,4.58579881656805,,1.0366172611,5,4,30,,40,28518,742,98,1,4,57,2,0.156862745098039,0.165359124671665,0.00737427946730272,0.00132631379501685,0.0161290322580645,0.266666666666667,0.452380952380952,0.222222222222222
247,amphetamine,ESI+,DTXCID402600,158,7.66666666666667,True,6,,1.1441849458,1,1,10,,255,172461,100620,73889,62,10,126,9,1,1,1,1,1,0.666666666666667,1,1
247,amphetamine,ESI+,DTXCID40283638,158,0.0949649747499732,False,1.5,,0.9637093057,38,28,42,,11,2086,5,0,0,0,5,0,0.0431372549019608,0.0120954882553157,4.96919101570264e-05,0,0,0,0.0396825396825397,0
247,amphetamine,ESI+,DTXCID4030170,158,0.378640232360968,False,1.5,,1.045524535,17,28,26,,26,3823,52,2,0,0,32,0,0.101960784313725,0.0221673305848859,0.000516795865633075,2.70676284697316e-05,0,0,0.253968253968254,0
247,amphetamine,ESI+,DTXCID4041527,158,0.255039048374229,False,2.4,,0.6724413244,23,18,93,,28,915,504,0,0,0,17,0,0.109803921568627,0.005305547341138,0.00500894454382826,0,0,0,0.134920634920635,0
247,amphetamine,ESI+,DTXCID40431036,158,0.0414252382048301,False,1.5,,0.6533413004,65,28,104,,6,342,4,0,0,0,2,0,0.0235294117647059,0.00198305703898273,3.97535281256211e-05,0,0,0,0.0158730158730159,0
247,amphetamine,ESI+,DTXCID4043274,158,0.199553105370027,False,2,,0.3397335947,28,24,157,,16,8341,104,8,0,0,11,0,0.0627450980392157,0.0483645577840787,0.00103359173126615,0.000108270513878927,0,0,0.0873015873015873,0
247,amphetamine,ESI+,DTXCID40475197,158,0.00784313725490196,False,1.5,,0.5123124328,134,28,138,,2,0,0,0,0,0,0,0,0.00784313725490196,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID40661073,158,0.00392736703984567,False,2,,0.503723106,139,24,142,,1,1,0,0,0,0,0,0,0.00392156862745098,5.79841239468633e-06,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID407833,158,1.53421469764092,False,3.52,,1.0896480788,4,8,15,,22,1939,58,13,4,2,44,8,0.0862745098039216,0.0112431216332968,0.000576426157821507,0.000175939585053256,0.0645161290322581,0.133333333333333,0.349206349206349,0.888888888888889
247,amphetamine,ESI+,DTXCID40890982,158,0.0355742296918767,False,1.5,,0.7235923656,67,28,73,,3,0,0,0,0,0,3,0,0.0117647058823529,0,0,0,0,0,0.0238095238095238,0
247,amphetamine,ESI+,DTXCID40897032,158,0.00392156862745098,False,2.5,,0.4677692925,140,17,146,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID501026133,158,0.0314305331435547,False,0,,0.8843778149,74,30,51,,8,10,0,0,0,0,0,0,0.0313725490196078,5.79841239468634e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID501396332,158,0.0554314045621032,False,3,,0.7595335792,52,11,66,,8,43,0,0,0,0,3,0,0.0313725490196078,0.000249331732971512,0,0,0,0,0.0238095238095238,0
247,amphetamine,ESI+,DTXCID50166423,158,1.19455260706525,False,4.34183673469388,,0.860542354,6,5,54,,32,5876,145,16,0,3,63,3,0.125490196078431,0.0340714712311769,0.00144106539455377,0.000216541027757853,0,0.2,0.5,0.333333333333333
247,amphetamine,ESI+,DTXCID50210379,158,0.768877523736939,False,3.11111111111111,,1.025480224,9,10,33,,37,5892,69,3,0,3,21,2,0.145098039215686,0.0341642458294919,0.000685748360166965,4.06014427045974e-05,0,0.2,0.166666666666667,0.222222222222222
247,amphetamine,ESI+,DTXCID50321535,158,0.0117878995319317,False,1.5,,0.5391508709,119,28,135,,3,4,0,0,0,0,0,0,0.0117647058823529,2.31936495787453e-05,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID50335213,158,0.0257329036154892,False,1.5,,1.0929670131,81,28,13,,5,1054,0,1,0,0,0,0,0.0196078431372549,0.0061115266639994,0,1.35338142348658e-05,0,0,0,0
247,amphetamine,ESI+,DTXCID50355532,158,0.00809246898787347,False,2.5,,0.7631643248,129,17,65,,2,43,0,0,0,0,0,0,0.00784313725490196,0.000249331732971512,0,0,0,0,0,0
